plot_id,doy,organ,mass_g,totC_g,totN_g,CN_ratio,N_prct
2014_37,150,plant,3.07,1.408,0.121,11.663,3.93
2014_46,150,plant,4.26,1.941,0.165,11.76,3.87
2014_13,169,plant,80.8,36.959,2.665,13.87,3.298
2014_24,169,plant,65,29.229,2.138,13.668,3.29
2014_34,169,plant,68,30.426,2.006,15.17,2.95
2014_44,169,plant,78.3,34.869,2.277,15.314,2.908
2014_11,169,plant,65.5,30.345,1.954,15.529,2.983
2014_23,169,plant,100.4,44.529,3.16,14.09,3.148
2014_38,169,plant,83,37.272,2.669,13.963,3.216
2014_48,169,plant,65.3,29.445,1.981,14.865,3.033
2014_18,169,plant,71.7,32.034,2.213,14.476,3.086
2014_28,169,plant,99.3,44.342,2.917,15.199,2.938
2014_37,169,plant,75.7,33.788,2.409,14.028,3.182
2014_46,169,plant,74.2,33.626,2.304,14.593,3.106
2014_13,177,plant,192.2,87.132,5.075,17.17,2.64
2014_24,177,plant,217.5,97.658,5.725,17.058,2.632
2014_34,177,plant,205.8,91.628,4.722,19.404,2.294
2014_44,177,plant,208.1,93.854,5.022,18.689,2.413
